# Episode,Reward
1.000000000000000000e+05,2.141005466508702781e+01
2.000000000000000000e+05,1.416702553761055867e+02
3.000000000000000000e+05,7.170002719470758734e+01
4.000000000000000000e+05,6.880289506197101446e+01
5.000000000000000000e+05,6.716345285139480836e+01
6.000000000000000000e+05,6.369658376108887410e+01
7.000000000000000000e+05,9.753898745018906880e+01
8.000000000000000000e+05,2.652859174476002408e+02
9.000000000000000000e+05,3.073754456998329943e+02
1.000000000000000000e+06,3.381651587081129264e+02
1.100000000000000000e+06,3.318307990066147681e+02
1.200000000000000000e+06,3.149948522190900917e+02
1.300000000000000000e+06,3.311402163922440423e+02
1.400000000000000000e+06,3.385792435746955675e+02
1.500000000000000000e+06,3.511456783781479771e+02
1.600000000000000000e+06,3.726069717192311259e+02
1.700000000000000000e+06,4.031996965824397989e+02
1.800000000000000000e+06,6.361755728399375585e+02
1.900000000000000000e+06,7.996305299835065625e+02
2.000000000000000000e+06,1.230129654304571659e+03
2.100000000000000000e+06,6.704911645886400038e+02
2.200000000000000000e+06,7.984755707471514370e+02
2.300000000000000000e+06,7.624706874074367988e+02
2.400000000000000000e+06,6.662547823743568642e+02
2.500000000000000000e+06,1.195712242680128384e+03
2.600000000000000000e+06,1.552374399579130113e+03
2.700000000000000000e+06,1.653834410059547508e+03
2.800000000000000000e+06,9.388466684442061023e+02
2.900000000000000000e+06,6.638321875111084864e+02
3.000000000000000000e+06,5.904659882493700707e+02
3.100000000000000000e+06,4.182749388878355035e+02
3.200000000000000000e+06,4.068837643299679598e+02
3.300000000000000000e+06,4.168637126698984048e+02
3.400000000000000000e+06,6.851750837263198264e+02
3.500000000000000000e+06,6.689165043676933919e+02
3.600000000000000000e+06,6.762236553214054311e+02
3.700000000000000000e+06,7.160705361139827119e+02
3.800000000000000000e+06,5.993345465272923320e+02
3.900000000000000000e+06,6.784827168313124730e+02
4.000000000000000000e+06,6.190325797280428333e+02
4.100000000000000000e+06,7.683207817568365954e+02
4.200000000000000000e+06,8.545408039806596889e+02
4.300000000000000000e+06,1.091884878564170322e+03
4.400000000000000000e+06,7.480180766194836224e+02
4.500000000000000000e+06,7.241709304654525567e+02
4.600000000000000000e+06,6.982684658164126859e+02
4.700000000000000000e+06,6.978129633037129906e+02
4.800000000000000000e+06,2.615389436742845646e+03
4.900000000000000000e+06,1.169485693983101328e+03
5.000000000000000000e+06,1.903003637160295284e+03
5.100000000000000000e+06,4.017546851695552050e+03
5.200000000000000000e+06,2.792639540926647896e+02
5.300000000000000000e+06,2.736893437345127609e+02
5.400000000000000000e+06,2.704797335629900203e+02
5.500000000000000000e+06,2.781691115112346893e+02
5.600000000000000000e+06,1.404383550738923532e+03
5.700000000000000000e+06,6.898632810793448016e+02
5.800000000000000000e+06,5.447316276192472287e+03
5.900000000000000000e+06,1.310010522838747420e+04
6.000000000000000000e+06,1.115351065444249616e+04
6.100000000000000000e+06,2.140817277080698113e+04
6.200000000000000000e+06,2.261764835960090295e+03
6.300000000000000000e+06,2.794333037454135592e+03
6.400000000000000000e+06,1.014903121360518708e+04
6.500000000000000000e+06,4.274707682609510812e+03
6.600000000000000000e+06,1.133308637418757280e+04
6.700000000000000000e+06,2.037420812263795233e+04
6.800000000000000000e+06,5.634715115978003269e+03
6.900000000000000000e+06,7.163612397265003892e+03
7.000000000000000000e+06,3.191669061961553325e+03
7.100000000000000000e+06,1.892044096420788264e+03
7.200000000000000000e+06,2.486794640141737545e+03
7.300000000000000000e+06,2.441677457214277183e+03
7.400000000000000000e+06,2.834623168077665014e+03
7.500000000000000000e+06,6.981803971628251020e+03
7.600000000000000000e+06,2.273766163683173090e+03
7.700000000000000000e+06,2.165593723583817700e+04
7.800000000000000000e+06,2.440770854773248629e+03
7.900000000000000000e+06,3.395966769698934968e+03
8.000000000000000000e+06,2.348615927681693847e+03
8.100000000000000000e+06,3.153615389149470047e+03
8.200000000000000000e+06,2.309491941000259430e+03
8.300000000000000000e+06,4.803929623845326205e+03
8.400000000000000000e+06,8.576199241615968276e+03
